fips,county,HDI
06001,Alameda,0.9509253716712913
06003,Alpine,
06005,Amador,0.7645906847861702
06007,Butte,0.7291196913818898
06009,Calaveras,0.6418014198136444
06011,Colusa,0.8562270789478899
06013,Contra Costa,0.8992305049440547
06015,Del Norte,0.6417747740731011
06017,El Dorado,0.7646546829158835
06019,Fresno,0.7307314122477957
06021,Glenn,0.7507869508153356
06023,Humboldt,0.7623496041885761
06025,Imperial,0.7196982229188545
06027,Inyo,0.8741486751127949
06029,Kern,0.7646488582245443
06031,Kings,0.6706469327251827
06033,Lake,0.6324938215990494
06035,Lassen,0.7325047042373583
06037,Los Angeles,0.8905793106572566
06039,Madera,0.7076137077301351
06041,Marin,0.9914685235681593
06043,Mariposa,0.7772991829560361
06045,Mendocino,0.7346771977411144
06047,Merced,0.6085395573932756
06049,Modoc,0.7457938516453072
06051,Mono,0.9519385034933846
06053,Monterey,0.8208359983982745
06055,Napa,0.9081741268366209
06057,Nevada,0.7764285511758889
06059,Orange,0.9264821987101086
06061,Placer,0.8738832025989011
06063,Plumas,0.8444821835602148
06065,Riverside,0.6580051621968571
06067,Sacramento,0.8395984798322078
06069,San Benito,0.7308328731136048
06071,San Bernardino,0.7139162070292895
06073,San Diego,0.8994773137660729
06075,San Francisco,1.138671866567397
06077,San Joaquin,0.6988134384696203
06079,San Luis Obispo,0.8673364437754986
06081,San Mateo,1.0788934044136114
06083,Santa Barbara,0.8624841421532631
06085,Santa Clara,1.103847437787254
06087,Santa Cruz,0.8217292328614096
06089,Shasta,0.7454634531038917
06091,Sierra,0.900586624528415
06093,Siskiyou,0.7137544595440294
06095,Solano,0.8242006117500611
06097,Sonoma,0.8550042139215079
06099,Stanislaus,0.7149256390230847
06101,Sutter,0.6611092920659357
06103,Tehama,0.645326699787124
06105,Trinity,0.7097728743098313
06107,Tulare,0.6624139437690575
06109,Tuolumne,0.7698133069701394
06111,Ventura,0.8761361959874169
06113,Yolo,0.889430901183051
06115,Yuba,0.6998159778030719
