fips,county,attain_nohs,attain_nohsdiploma,attain_hs,attain_somecol,attain_aa,attain_ba,attain_grad,attain_hsup,attain_baup,MYS,enrol_preschool,thirdgrade_reading,thirdgrade_maths,suspensions,juvenile_felony,highered_enroll,hs_grad_rate,college_readiness,discon_youth,econ_con,expo,child_exposure,bias_grp_mem,child_bias,clustering,support_ratio,volunteering_rate,association_rate,civic_orgs
06095,Solano,5.7,6.3,23.3,28.299999999999997,10.100000000000001,18.3,7.9,88.0,26.200000000000003,13.354628520321839,45.300000000000004,42.6,42.9,58.5,4.8,37.5,84.0,43.0,13.900000000000002,0.87462997,1.08867,1.25192,0.11474,0.03091,0.087360002,0.96779001,0.0535,5.5263568238,0.0089400001
06097,Sonoma,6.2,5.800000000000001,18.8,24.8,9.5,22.0,12.9,88.0,34.9,13.724715617038397,48.3,49.4,49.1,41.0,4.2,47.9,83.0,37.3,8.7,0.86228001,1.13221,1.22211,0.12799001,0.043809999,0.092950001,0.98087001,0.086240001,6.8306827098,0.01945
06099,Stanislaus,11.600000000000001,10.100000000000001,28.599999999999998,25.1,7.7,11.5,5.4,78.3,16.900000000000002,12.320437576121298,40.6,40.699999999999996,39.800000000000004,52.1,6.4,39.5,85.0,39.6,15.2,0.74586999,0.93813998,1.0520999,0.11445,0.080109999,0.084260002,0.97188997,0.04253,5.7207812953,0.0082
06101,Sutter,12.7,9.3,23.9,25.4,10.9,11.799999999999999,5.8999999999999995,78.0,17.7,12.259912248276304,45.7,42.199999999999996,37.9,63.2,3.6,40.6,84.0,32.1,15.0,0.71074998,0.83015001,1.04706,0.12046,0.04287,0.094700001,0.98209,0.052439999,5.8053346879,0.01048
06103,Tehama,7.1,8.5,30.7,30.5,7.7,11.1,4.3999999999999995,84.39999999999999,15.5,12.662470577375732,50.4,35.6,39.0,44.1,3.9,29.299999999999997,89.0,17.7,13.5,0.64851999,0.67992997,0.86431998,0.10765,0.01567,0.094949998,0.98190999,0.096670002,6.4762747204,0.01097
06105,Trinity,1.5,7.9,33.4,29.799999999999997,7.8,14.899999999999999,4.8,90.60000000000001,19.7,13.36614489263496,37.2,35.099999999999994,42.1,59.0,,16.2,88.0,20.7,29.7,0.73521,0.75221002,0.56384999,0.10649,0.036660001,0.11937,0.99326998,0.12196,4.5910169102,0.026590001
06107,Tulare,18.9,11.3,26.0,21.9,7.6,9.6,4.8,69.8,14.299999999999999,11.602005775384374,31.8,38.1,39.7,41.2,4.7,36.1,85.0,35.4,18.2,0.54176003,0.63432997,0.88698,0.13684,0.067050003,0.088409998,0.98430997,0.028170001,4.4795950098,0.0081099998
06109,Tuolumne,1.9,7.7,28.4,31.2,10.8,12.9,7.199999999999999,90.4,20.0,13.414123483208908,45.300000000000004,42.699999999999996,43.9,61.7,,31.4,89.0,25.3,22.5,0.9109,1.03274,1.02465,0.096270002,0.01058,0.10637,0.99375999,0.13939001,9.49561526,0.02723
06111,Ventura,9.6,6.0,18.9,23.1,9.3,20.8,12.3,84.39999999999999,33.1,13.376204593380804,51.9,44.9,45.7,28.0,5.2,46.0,85.0,48.8,9.9,0.78140998,0.98071003,1.1887,0.16011,0.057319999,0.08512,0.97039002,0.056940001,6.0667626062,0.01212
06113,Yolo,7.199999999999999,6.5,18.5,19.5,6.800000000000001,21.099999999999998,20.4,86.4,41.6,14.041700051564794,51.4,48.4,44.9,47.8,3.8,75.0,89.0,48.0,6.3,0.81755,1.03931,1.1108299,0.1548,0.02682,0.095069997,0.96081001,0.071220003,6.5253314305,0.018139999
06115,Yuba,7.6,10.299999999999999,23.1,31.2,11.0,11.700000000000001,4.9,82.0,16.7,12.771625601152518,42.0,40.1,42.9,63.8,5.3,36.0,77.0,27.1,14.000000000000002,0.72917002,0.86379999,0.80733001,0.13544001,0.026000001,0.08794,0.96395999,0.064029999,4.4300059067,0.01054
